job,pets,count
artistic ,likes both,2077
artistic ,likes cats,274
artistic ,likes dogs,829
artistic ,other,16
banking ,likes both,644
banking ,likes cats,68
banking ,likes dogs,719
banking ,other,21
clerical ,likes both,387
clerical ,likes cats,45
clerical ,likes dogs,174
clerical ,other,7
computer ,likes both,2006
computer ,likes cats,365
computer ,likes dogs,943
computer ,other,25
construction ,likes both,421
construction ,likes cats,38
construction ,likes dogs,280
construction ,other,3
education ,likes both,1447
education ,likes cats,196
education ,likes dogs,808
education ,other,26
entertainment ,likes both,949
entertainment ,likes cats,131
entertainment ,likes dogs,509
entertainment ,other,10
executive ,likes both,794
executive ,likes cats,100
executive ,likes dogs,705
executive ,other,14
hospitality ,likes both,559
hospitality ,likes cats,49
hospitality ,likes dogs,369
hospitality ,other,13
law ,likes both,523
law ,likes cats,63
law ,likes dogs,402
law ,other,10
medicine ,likes both,1491
medicine ,likes cats,129
medicine ,likes dogs,989
medicine ,other,20
military,likes both,79
military,likes cats,3
military,likes dogs,64
military,other,4
other,likes both,3344
other,likes cats,355
other,likes dogs,1765
other,other,48
other and laughing about it,other,1
political ,likes both,292
political ,likes cats,32
political ,likes dogs,164
political ,other,3
rather not say,likes both,189
rather not say,likes cats,27
rather not say,likes dogs,92
rather not say,other,3
retired,likes both,109
retired,likes cats,15
retired,likes dogs,51
retired,other,4
sales ,likes both,1518
sales ,likes cats,108
sales ,likes dogs,1379
sales ,other,25
science ,likes both,1825
science ,likes cats,251
science ,likes dogs,1109
science ,other,41
student,likes both,2177
student,likes cats,228
student,likes dogs,1087
student,other,31
transportation,likes both,148
transportation,likes cats,23
transportation,likes dogs,95
transportation,other,3
unemployed,likes both,153
unemployed,likes cats,22
unemployed,likes dogs,42
unemployed,other,8
