<<<<<<< HEAD
pets,location,count
likes both,alameda,380
likes both,albany,117
likes both,amsterdam,1
likes both,arcadia,1
likes both,atherton,17
likes both,atlanta,2
likes both,bayshore,1
likes both,bellingham,1
likes both,belmont,98
likes both,belvedere tiburon,28
likes both,benicia,86
likes both,berkeley,1791
likes both,billings,1
likes both,boise,1
likes both,bolinas,4
likes both,boston,1
likes both,brea,1
likes both,brisbane,12
likes both,brooklyn,1
likes both,burlingame,129
likes both,cambridge,1
likes both,campbell,1
likes both,castro valley,151
likes both,chicago,3
likes both,cincinnati,1
likes both,colma,2
likes both,columbus,1
likes both,concord,1
likes both,corte madera,34
likes both,costa mesa,1
likes both,crockett,17
likes both,crowley,1
likes both,daly city,230
likes both,east palo alto,6
likes both,edinburgh,1
likes both,el cerrito,137
likes both,el granada,11
likes both,el sobrante,60
likes both,emeryville,295
likes both,fairfax,62
likes both,fayetteville,1
likes both,forest knolls,1
likes both,foster city,5
likes both,fremont,35
likes both,grand rapids,1
likes both,granite bay,1
likes both,green brae,37
likes both,half moon bay,48
likes both,hayward,273
likes both,hercules,36
likes both,hillsborough,1
likes both,kassel,1
likes both,kensington,2
likes both,kentfield,8
likes both,lafayette,66
likes both,lagunitas,4
likes both,lake orion,1
likes both,larkspur,35
likes both,leander,1
likes both,london,1
likes both,long beach,2
likes both,longwood,1
likes both,los angeles,2
likes both,los gatos,1
likes both,madrid,1
likes both,marin city,1
likes both,martinez,141
likes both,menlo park,176
likes both,mill valley,120
likes both,millbrae,49
likes both,milpitas,1
likes both,montara,5
likes both,moraga,38
likes both,moss beach,3
likes both,mountain view,131
likes both,muir beach,1
likes both,napa,1
likes both,new orleans,1
likes both,new york,2
likes both,north hollywood,1
likes both,novato,156
likes both,oakland,3122
likes both,orinda,38
likes both,ozone park,1
likes both,pacifica,149
likes both,palo alto,362
likes both,petaluma,1
likes both,phoenix,1
likes both,piedmont,4
likes both,pinole,45
likes both,pleasant hill,147
likes both,point richmond,2
likes both,port costa,1
likes both,portland,2
likes both,providence,1
likes both,redwood city,299
likes both,richmond,173
likes both,riverside,1
likes both,rochester,1
likes both,rodeo,13
likes both,rohnert park,1
likes both,ross,4
likes both,salt lake city,1
likes both,san anselmo,59
likes both,san antonio,1
likes both,san bruno,106
likes both,san carlos,92
likes both,san diego,2
likes both,san francisco,11203
likes both,san geronimo,9
likes both,san leandro,245
