pets,location,count,Lat,Lng
likes both,alameda,380,37.7798721,-122.2821855
likes both,albany,117,37.886704,-122.2977557
likes both,amsterdam,1,37.43028,-120.54111
likes both,arcadia,1,34.1397292,-118.0353449
likes both,atherton,17,37.4613272,-122.197743
likes both,atlanta,2,37.812092,-121.121437
likes both,bayshore,1,37.7063208,-122.4133047
likes both,bellingham,1,34.1930258,-118.3977988
likes both,belmont,98,37.5202145,-122.2758008
likes both,belvedere tiburon,28,37.8727044,-122.4644171
likes both,benicia,86,38.049365,-122.1585777
likes both,berkeley,1791,37.8715226,-122.273042
likes both,billings,1,34.031795,-118.233296
likes both,boise,1,43.6165866,-116.2039829
likes both,bolinas,4,37.9093702,-122.6863733
likes both,boston,1,34.4561907,-118.5832393
likes both,brea,1,33.916475,-117.9002918
likes both,brisbane,12,37.6807661,-122.3999715
likes both,brooklyn,1,34.21677090000001,-118.3615921
likes both,burlingame,129,37.5778696,-122.34809
likes both,cambridge,1,33.7940533,-117.8432314
likes both,campbell,1,37.2871651,-121.9499568
likes both,castro valley,151,37.6955029,-122.0738678
likes both,chicago,3,38.43713,-120.839218
likes both,cincinnati,1,39.0653384,-84.41989269999999
likes both,colma,2,37.6749036,-122.4561533
likes both,columbus,1,33.9198465,-118.1164373
likes both,concord,1,37.9779776,-122.0310733
likes both,corte madera,34,37.9254806,-122.5274755
likes both,costa mesa,1,33.6638439,-117.9047429
likes both,crockett,17,38.0524208,-122.2130236
likes both,crowley,1,37.6036872,-118.7372922
likes both,daly city,230,37.6879241,-122.4702079
likes both,east palo alto,6,37.4688273,-122.1410751
likes both,edinburgh,1,34.0844282,-118.363337
likes both,el cerrito,137,37.9161326,-122.310765
likes both,el granada,11,37.5027185,-122.4694214
likes both,el sobrante,60,37.9771452,-122.2952474
likes both,emeryville,295,37.8395028,-122.2892278
likes both,fairfax,62,37.9871454,-122.5888686
likes both,fayetteville,1,,
likes both,forest knolls,1,38.014099,-122.689598
likes both,foster city,5,37.5585465,-122.2710788
likes both,fremont,35,37.5485396,-121.988583
likes both,grand rapids,1,42.8737792,-85.5249328
likes both,granite bay,1,38.7632345,-121.1638361
likes both,green brae,37,37.9476326,-122.5252604
likes both,half moon bay,48,37.4635519,-122.4285862
likes both,hayward,273,37.6687665,-122.0809964
likes both,hercules,36,38.0171441,-122.2885808
likes both,hillsborough,1,37.5741032,-122.3794163
likes both,kassel,1,34.1779428,-118.6054136
likes both,kensington,2,37.9104805,-122.2802471
likes both,kentfield,8,37.9521465,-122.5571997
likes both,lafayette,66,37.8857582,-122.1180201
likes both,lagunitas,4,38.0113119,-122.7022085
likes both,lake orion,1,,
likes both,larkspur,35,37.9340915,-122.5352539
likes both,leander,1,,
likes both,london,1,36.4760619,-119.4431785
likes both,long beach,2,33.7700504,-118.1937395
likes both,longwood,1,33.8669836,-118.2036834
likes both,los angeles,2,34.0522342,-118.2436849
likes both,los gatos,1,37.2358078,-121.9623751
likes both,madrid,1,34.2222235,-118.235471
likes both,marin city,1,37.868538,-122.5091404
likes both,martinez,141,38.0193657,-122.1341321
likes both,menlo park,176,37.4529598,-122.1817252
likes both,mill valley,120,37.9060368,-122.5449763
likes both,millbrae,49,37.5985468,-122.3871942
likes both,milpitas,1,37.4323341,-121.8995741
likes both,montara,5,37.5421617,-122.5160892
likes both,moraga,38,37.8349263,-122.1296871
likes both,moss beach,3,37.5274401,-122.5133117
likes both,mountain view,131,37.3860517,-122.0838511
likes both,muir beach,1,37.8622625,-122.5787638
likes both,napa,1,38.2975381,-122.286865
likes both,new orleans,1,41.3009016,-123.5417933
likes both,new york,2,33.9928728,-118.1628414
likes both,north hollywood,1,34.187044,-118.3812562
likes both,novato,156,38.1074198,-122.5697032
likes both,oakland,3122,37.8043514,-122.2711639
likes both,orinda,38,37.8771476,-122.1796888
likes both,ozone park,1,34.0015705,-118.4720712
likes both,pacifica,149,37.6138253,-122.4869194
likes both,palo alto,362,37.4418834,-122.1430195
likes both,petaluma,1,38.232417,-122.6366524
likes both,phoenix,1,34.0731137,-118.3758828
likes both,piedmont,4,37.8244063,-122.2314865
likes both,pinole,45,38.0043667,-122.2988587
likes both,pleasant hill,147,37.9479786,-122.0607963
likes both,point richmond,2,37.9252463,-122.383404
likes both,port costa,1,38.04630969999999,-122.1833005
likes both,portland,2,45.5230979,-122.6839761
likes both,providence,1,33.7384987,-118.3049839
likes both,redwood city,299,37.4847955,-122.228141
likes both,richmond,173,37.9357576,-122.3477486
likes both,riverside,1,33.9806005,-117.3754942
likes both,rochester,1,34.0916774,-117.5475515
likes both,rodeo,13,38.032977,-122.2669138
likes both,rohnert park,1,38.3396367,-122.7010984
likes both,ross,4,37.9624239,-122.5549775
likes both,salt lake city,1,34.0216369,-117.9773101
likes both,san anselmo,59,37.9746458,-122.5616448
likes both,san antonio,1,38.18389,-122.59028
likes both,san bruno,106,37.6304904,-122.4110835
likes both,san carlos,92,37.5071591,-122.2605222
likes both,san diego,2,32.715738,-117.1610838
likes both,san francisco,11203,37.7749295,-122.4194155
likes both,san geronimo,9,38.0132562,-122.6638731
likes both,san leandro,245,37.7257663,-122.1568554
likes both,san lorenzo,60,37.6793968,-122.1267054
likes both,san mateo,505,37.5629917,-122.3255254
likes both,san pablo,76,37.9621457,-122.3455263
likes both,san rafael,312,37.9735346,-122.5310874
likes both,santa ana,1,33.7454725,-117.867653
likes both,santa cruz,3,36.9741171,-122.0307963
likes both,santa monica,2,34.0194543,-118.4911912
likes both,santa rosa,1,38.440429,-122.7140548
likes both,sausalito,77,37.8590937,-122.4852507
likes both,seaside,1,36.6149217,-121.822098
likes both,south lake tahoe,1,38.939926,-119.9771868
likes both,south san francisco,146,37.654656,-122.4077498
likes both,south wellfleet,1,,
likes both,stanford,90,37.42410599999999,-122.1660756
likes both,stinson beach,1,37.9004816,-122.6444263
likes both,taunton,1,,
likes both,tucson,2,32.3268641,-111.0519088
likes both,union city,1,37.5933562,-122.0438609
likes both,vallejo,217,38.1040864,-122.2566367
likes both,walnut creek,248,37.9100783,-122.0651819
likes both,waterford,1,37.640545,-120.7615808
likes both,west oakland,4,37.8155761,-122.2839963
likes both,westlake,2,34.1466467,-118.8073729
